OCS Центральный офис;1701019,82;2271318,12;1648076,36;2338724,54;3943320,76;2703560,73;4206902,25;1876486,47;1928279;1542078,41;1199762,34;5509957,04;1339535,47;2289765,75;3107404,06;4541529,22;2480373,37;4166458,63;4828101,86;7702866,41;7314293,92;6706632,84;10009678,37;11300791,67;2474934,38;9643093,71;7811750,72;8235714,36;6326119,84;9675583,46;10068853,04;10319366,17;10537200,07;8621192,75;9976272,61;18058306,83;6361207,5;10631221,55;6727947,03;9033747,9;11564675,85;8976755,35;10984809,39;14301554,96;14973890,79;18532464,63;14891728,35;26348595,93;9046427,09;10135791,11;12081343,48;15468648,68;9147632,12;10640617,72;12910401,22;11058539,02;11665166,99;13351458,54;15162239,53;20036038,56;7012919,75;15074465,37;9901254,84;8182191,96;14558927,21;8892821,86;14767804,21;9782966,64;17720361;20503033,38;18115204,48;7163865,67
РБЮ Воронеж;156529,02;157974,41;197775,24;206251,5;322106,15;318593,84;324381,03;285029,88;411477,16;166384,93;297860,03;410974,87;201367,19;182372,01;570605,11;916363,99;767499,67;1131916,37;405592,52;373588,47;688249,14;720361,58;599626,17;1490933,3;205884,26;317339,56;477178;346333,98;919920,27;368649,85;489176,53;553720,66;994801,48;966975,65;986318,13;1882126,96;775144,18;477972,25;1067843,65;495567,64;1689034,08;555893,23;1063685,48;514107,39;954459,59;1246337,67;954007,85;2606467,92;1485424,49;624601,15;434806,84;644797,41;517326,06;1110329,99;887510,22;452577,44;924133,2;1170117,6;2048209,54;1323879,59;320518,4;992250,63;356668,73;340213,52;399961,62;989837,48;420254,87;359293,64;270500,85;370922,21;295840,69;85188,03
РБЮ Восточная Сибирь;88690,75;10727,03;34201,95;56994,7;62734,64;74777,07;138784,45;107505,36;94414,57;146414,38;53499,09;300945,4;63778,35;113466,62;356643,15;115295;87848,92;132551,1;218167,33;236652,65;159816,42;175352,08;192580,49;602265,42;123941,8;395329,49;146457,05;579947,19;106799,69;919188,15;355040,4;513806,52;296688,76;238391,68;399712,82;312078,63;129245,76;284114,14;381947,12;169127,85;192599,15;629345,01;317726,67;315445,74;224013,14;506368,56;413258,65;478706,81;200083,34;332017,97;444373,13;940315,04;641753,49;555502,72;252409,59;267744,93;193122,24;273197,74;303967,75;985873;237742,25;105615,17;17671,93;181058,01;212783,65;499369,69;223106,85;261122,06;322882,38;410779,37;115826,37;36424,46
РБЮ Екатеринбург;280099,67;183135,26;301800,02;951600,16;413961,83;241044,54;205766,87;321526,74;207444,87;202857,65;148991,39;399943,13;168210,6;343566,22;206851,8;178949,6;410662,75;353906,71;350024,62;944632,54;1288335,81;647786,19;847758,34;952822,28;350272,08;443279,96;765960,86;769826,13;691033,03;507415,71;551328,59;1725099,2;1268418,56;1029325,74;1070086,03;1581027,01;1944140,68;951860,6;922747,73;508069,34;1169302,29;452847,48;761902,64;868259,07;1767087,14;1129628,73;689570,26;2273153,62;350393,16;763348,7;581500,59;920726,07;1092260,85;736685,05;1802622,89;1344830,79;1098434,43;1313680,83;2230798,29;3076380,66;584349,62;1693060,29;998030,69;536361,27;950585,29;1220916,75;1792534,26;723189,85;1627075,43;1036105,2;1007887,32;258378,43
РБЮ Нижний Новгород;357683,64;104181,3;184109,52;306848,2;221450,73;208383,84;187283,02;416101,9;227030,08;242358,68;203002,7;438841,17;272949,39;308174,49;187917,35;117118,23;365543,9;595857,75;375030,18;346532,87;1382851,13;654704,45;1404996,24;3470362,75;261747,68;328929,8;628669,37;839494,07;3176103,18;4344867,04;1379392,76;923479,11;1759468,87;1212562,69;1303052,41;6638920,96;800120,56;1368440,67;1620267,95;624587,94;959801,08;1071791,09;2333219,98;1426473,84;613550,85;1295020,88;1266336,27;2626863,81;890406,6;1737975,48;2476691,86;727553,71;1199029,26;819673,44;1308995,51;664362,62;884601,63;2063931,61;1519678,14;1459677,04;714082,64;1307349,36;1145492,24;963294,93;476453,53;919342,1;1370857,38;1795104,67;1707283,5;1094696,72;1229069,67;302338,65
РБЮ Новосибирск;130459,16;378750,95;343221,48;468691,43;305636,78;457953,15;446096,1;298835,62;178702,42;430654,69;343569,68;537422,6;147118,7;272388,38;481642,57;437493,56;259168,22;307972,62;480317,26;311042,75;871370,02;511425,98;791386,79;1244406,1;152297,74;556557,78;422531,19;394656,66;447016,27;589723,58;804800,2;957389,98;1479405,86;1595686,13;1119382,26;1719624,68;208528,37;760975,85;1049604,21;1138978,71;758859,4;792995,09;894805,17;1080777,84;563529,43;812461,35;963034,45;2874700,28;654241,82;1091003,42;2636308,27;923133,21;778756,2;666038,16;672776,29;830294,96;1318540,26;580904,25;1010742,45;1607147,52;469111,51;1089638,76;799070,92;610073,13;1853249,11;904722,37;646424,07;870953,05;1691736,33;327364,72;731664,97;128074,1
РБЮ Пермь;47822,4;6207,2;11121,28;42850,66;121064,53;41618,32;60912,25;16035,1;58929,3;35923,65;53230,98;123129,24;11168,68;33394,45;64989,25;21165,44;33672,64;73224,6;28100,07;111978,6;329365,44;204217,94;137400,12;227838,02;44578,71;96556,44;70731,85;113993,22;44712,1;597167,88;546319,96;60719,6;78867,21;199075,43;757592,55;132495,24;44522,49;292935,92;104862,21;56053,14;81278,78;114077,87;149256,29;92051,83;202505,27;342827,46;245218,1;474655,04;130854,83;171278,09;78035,77;83233,58;72759,34;250265,74;199369,29;658848,89;221044,75;234766,37;482454,01;325092,6;240767,57;52363,56;596538,18;64858,53;88330,59;678947,63;;;;;;
РБЮ Самара;42434,22;149209,33;24467,87;23103,39;81827,71;50299,81;31433,13;42290,66;14212,19;37267,9;11517,15;211385,05;18926,06;45362,45;44303,51;88862,98;38774,95;242967,29;103448,74;173632,33;169853,59;334092,04;123952,8;671612,96;44615,07;291138,73;255744,8;204287,02;185763,26;172038,33;235107,72;234066,49;560377,54;337778,63;253170,13;226489,06;539416,39;274190,91;154031,84;271032,63;291904,49;206794,79;141556,42;606701,49;445963,31;315217,59;442782,68;342773,76;232364,94;230657,39;311208,98;485753,54;157958,71;248901,09;215620,96;970603,33;700830,47;702987,03;368775,97;1032796,77;414130,2;278554,24;359720,42;549302,87;154047,29;280803,92;288052,98;239120,99;136637,72;359816,83;383621,76;16274,44
