клин;;золотой вавилон;;электрозавод;;правоборежный СПб;;Академический СПб;;ленинский СПб;
21.февр.;19;06.окт.;17;14.мая;83;04.мая;340;04.мая;249;04.мая;272
22.февр.;163;08.окт.;1080;15.мая;139;05.мая;352;05.мая;261;05.мая;244
23.февр.;295;09.окт.;735;16.мая;100;06.мая;282;06.мая;428;06.мая;361
24.февр.;396;10.окт.;251;17.мая;131;07.мая;420;07.мая;389;07.мая;247
25.февр.;765;11.окт.;431;18.мая;140;08.мая;296;08.мая;356;08.мая;413
26.февр.;425;12.окт.;400;19.мая;197;09.мая;442;09.мая;285;09.мая;246
27.февр.;232;13.окт.;396;20.мая;200;10.мая;428;10.мая;351;10.мая;283
28.февр.;370;14.окт.;536;21.мая;163;11.мая;362;11.мая;363;11.мая;318
29.февр.;582;15.окт.;1153;22.мая;106;12.мая;294;12.мая;277;12.мая;344
01.марта;424;16.окт.;770;23.мая;191;13.мая;338;13.мая;403;13.мая;186
02.марта;370;17.окт.;379;24.мая;219;14.мая;370;14.мая;342;14.мая;406
03.марта;554;18.окт.;509;25.мая;276;15.мая;428;15.мая;337;15.мая;224
04.марта;587;19.окт.;469;26.мая;238;16.мая;318;16.мая;422;16.мая;390
05.марта;445;20.окт.;257;27.мая;173;17.мая;413;17.мая;402;17.мая;320
06.марта;547;21.окт.;378;28.мая;175;18.мая;316;18.мая;330;18.мая;209
07.марта;890;22.окт.;994;29.мая;214;19.мая;378;19.мая;364;19.мая;210
08.марта;631;23.окт.;729;30.мая;229;20.мая;324;20.мая;409;20.мая;243
09.марта;445;24.окт.;461;31.мая;296;21.мая;404;21.мая;430;21.мая;217
10.марта;516;25.окт.;153;01.июня;222;22.мая;293;22.мая;183;22.мая;322
11.марта;433;26.окт.;415;02.июня;227;23.мая;485;23.мая;512;23.мая;405
12.марта;394;27.окт.;427;03.июня;175;24.мая;529;24.мая;441;24.мая;639
13.марта;297;28.окт.;410;04.июня;80;25.мая;527;25.мая;484;25.мая;511
14.марта;308;29.окт.;1097;05.июня;184;26.мая;374;26.мая;455;26.мая;525
15.марта;448;30.окт.;991;06.июня;197;27.мая;374;27.мая;392;27.мая;295
16.марта;657;31.окт.;259;07.июня;241;28.мая;477;28.мая;320;28.мая;292
17.марта;647;01.нояб.;526;08.июня;174;29.мая;414;29.мая;456;29.мая;401
18.марта;549;02.нояб.;442;09.июня;301;30.мая;450;30.мая;304;30.мая;436
19.марта;417;03.нояб.;540;10.июня;201;31.мая;586;31.мая;405;31.мая;495
20.марта;402;04.нояб.;941;11.июня;179;01.июня;613;01.июня;232;01.июня;466
21.марта;560;05.нояб.;1025;12.июня;133;02.июня;282;02.июня;315;02.июня;284
22.марта;383;06.нояб.;634;13.июня;194;03.июня;453;03.июня;357;03.июня;304
23.марта;372;07.нояб.;452;14.июня;218;04.июня;484;04.июня;305;04.июня;366
24.марта;651;08.нояб.;358;15.июня;411;05.июня;493;05.июня;376;05.июня;316
25.марта;737;09.нояб.;458;16.июня;408;06.июня;340;06.июня;405;06.июня;480
26.марта;377;10.нояб.;578;17.июня;388;07.июня;253;07.июня;270;07.июня;425
27.марта;441;11.нояб.;415;18.июня;282;08.июня;390;08.июня;264;08.июня;368
28.марта;401;12.нояб.;1334;19.июня;199;09.июня;353;09.июня;240;09.июня;286
29.марта;644;13.нояб.;1035;20.июня;305;10.июня;296;10.июня;385;10.июня;352
30.марта;439;14.нояб.;403;21.июня;481;11.июня;354;11.июня;418;11.июня;674
31.марта;539;15.нояб.;466;22.июня;474;12.июня;265;12.июня;479;12.июня;282
01.апр.;698;16.нояб.;346;23.июня;452;13.июня;290;13.июня;306;13.июня;249
02.апр.;343;17.нояб.;583;24.июня;423;14.июня;269;14.июня;369;14.июня;217
03.апр.;525;18.нояб.;667;25.июня;296;15.июня;326;15.июня;404;15.июня;429
04.апр.;411;19.нояб.;1300;26.июня;185;16.июня;345;16.июня;265;16.июня;165
05.апр.;252;20.нояб.;759;27.июня;261;17.июня;436;17.июня;297;17.июня;332
06.апр.;477;21.нояб.;546;28.июня;218;18.июня;328;18.июня;417;18.июня;296
07.апр.;752;22.нояб.;307;29.июня;450;19.июня;287;19.июня;225;19.июня;327
08.апр.;588;23.нояб.;369;30.июня;346;20.июня;1076;20.июня;618;20.июня;855
09.апр.;421;24.нояб.;400;01.июля;276;21.июня;660;21.июня;867;21.июня;886
10.апр.;524;25.нояб.;490;02.июля;259;22.июня;768;22.июня;715;22.июня;815
11.апр.;533;26.нояб.;1115;03.июля;226;23.июня;728;23.июня;360;23.июня;546
12.апр.;330;27.нояб.;816;04.июля;234;24.июня;757;24.июня;625;24.июня;596
13.апр.;488;28.нояб.;417;05.июля;349;25.июня;729;25.июня;538;25.июня;412
14.апр.;685;29.нояб.;255;06.июля;421;26.июня;672;26.июня;810;26.июня;837
15.апр.;387;30.нояб.;432;07.июля;348;27.июня;652;27.июня;566;27.июня;654
16.апр.;389;01.дек.;637;08.июля;404;28.июня;738;28.июня;553;28.июня;790
17.апр.;485;02.дек.;522;09.июля;330;29.июня;665;29.июня;803;29.июня;663
18.апр.;411;03.дек.;1364;10.июля;187;30.июня;592;30.июня;636;30.июня;475
