РБЮ;КлиентНомер;КлиентКрНаим;Прибыль, usd;Цена суммарная;Себестоимость по Заказу , usd;Прибыль с учетом рибейтов;Объём по Накладной, м3;Общее Количество Заказов;Коррекция продактов ЦО в РБЮ;Коррекция продактов сейлам;Количество шт. в Накладной;Заказ Количество Строк;Доход конвертационный, usd
OCS Центральный офис;К0027948;СТ Телеком;438,19;9334,96;8896,77;438,19;0,393185;14;0;183,014;32;22;272,3712
OCS Центральный офис;К0028020;Артпринт Лайф;5576,87;71819,83;66242,96;5576,87;3,343831;55;0;1576,3361;500;88;1133,336
OCS Центральный офис;К0028031;Инвенто;7680,46;72371,04;64690,58;7680,46;7,252049;11;84,6547;84,6547;195;15;488,028
OCS Центральный офис;К0028079;Джунн;114,52;587;472,48;114,52;0;1;0;0;3;2;0
OCS Центральный офис;К0028194;СИД;763,16;5947,76;5184,6;763,16;0,564983;10;0;10,47;25;19;150,34
OCS Центральный офис;К0028246;Мальтима Телеком;143,67;271,59;127,92;143,67;0,0084;1;0;0;1;1;0
OCS Центральный офис;К0028247;Симантек ЛТД,предст.;849,1;2931,3;2082,2;849,1;0;1;0;0;1;1;0
OCS Центральный офис;К0028262;НТЦ Вулкан;3197,3;47164,06;43966,76;3197,3;0,092658;5;0;505,41;107;16;25,76
OCS Центральный офис;К0028313;Персона;105,87;1892,36;1786,49;105,87;0,01914;2;0;0;6;3;0
OCS Центральный офис;К0028344;CNS;12190,98;374614,99;362424,01;12190,98;18,649167;171;0;17562,8623;1314;218;2508,9746
OCS Центральный офис;К0028346;АСТРА-Телеком;1376,97;6126,62;4749,65;1376,97;0,392571;4;0;74,37;73;10;117,696
OCS Центральный офис;К0028376;ТЦ Профис;20,86;217,95;197,09;20,86;0,128679;2;0;0;3;3;0
OCS Центральный офис;К0028389;ИП Агафонов Роман Витальевич;236,7;4545,47;4308,77;236,7;0,680866;7;0;77,3091;169;73;120,3632
OCS Центральный офис;К0028395;РИТЕК;1029,95;8599,75;7569,8;1029,95;3,438235;6;0;3,3456;27;11;0
OCS Центральный офис;К0028402;Тексон;1333,28;10875,2;9541,92;1333,28;2,127634;27;0;98,8167;134;63;239,6968
OCS Центральный офис;К0028512;ЛИИС;70,45;1192,96;1122,51;70,45;0,0672;1;0;0;2;1;47,7184
OCS Центральный офис;К0028551;Лантек;2967,77;25909,46;22941,69;2967,77;1,225604;3;0;0;29;6;0
OCS Центральный офис;К0028597;"ООО ""Компания Ником""";208,42;1652,27;1443,85;208,42;0,043451;6;0;6,3959;12;11;5,048
OCS Центральный офис;К0028638;Лерон Оптима;4676,87;50455,99;45779,12;4676,87;3,506885;48;55,0558;667,1846;514;105;421,4884
OCS Центральный офис;К0028652;Техно АйТи;13396,14;131206,97;117810,83;13396,14;16,44974;109;0;9182,3789;636;148;1136,906
OCS Центральный офис;К0028705;Атос АйТи Солюшенс энд Сервисез;4332,77;49998,08;45665,31;4332,77;0,376159;5;0;0;84;19;0
OCS Центральный офис;К0028732;Системные проекты;9407,22;194314,38;184907,16;9407,22;1,500795;8;0;1092,9527;65;25;417,64
OCS Центральный офис;К0028742;ASUS;-33206,08;27010,54;60216,62;-33206,08;2,187313;5;0;24081,7962;1497;28;0
OCS Центральный офис;К0028746;МЕТРО ПСКОВ;7547,4;58925,42;51378,02;7547,4;42,186624;9;0;1498,624;767;192;0
OCS Центральный офис;К0028777;Байсис;36,31;121,03;84,72;36,31;0,005632;1;0;0;2;1;0
OCS Центральный офис;К0028781;ЦРТ Сервис;-1501,08;9304,05;10805,13;-1501,08;0,274749;12;0;2858,9866;48;18;0
OCS Центральный офис;К0028805;Технократ;3907,84;22782,6;18874,76;3907,84;4,583097;12;0;-20,8845;113;30;36,5455
OCS Центральный офис;К0028828;СФК Сервисез;166,77;1244,67;1077,9;166,77;0,005292;1;0;0;8;5;49,7868
OCS Центральный офис;К0028979;ИТ город;12,55;65,16;52,61;12,55;0,017244;2;0;0;3;2;1,32
OCS Центральный офис;К0029138;Апекс;9,54;696;686,46;9,54;0,000037;1;0;0;6;1;27,84
OCS Центральный офис;К0029148;АйТиКом;2234,09;21777,34;19543,25;2234,09;5,20104;2;0;390,356;65;6;0
OCS Центральный офис;К0029168;ПринтСервис;103,38;557,36;453,98;103,38;0,07077;3;0;0;18;7;0
OCS Центральный офис;К0029176;ДМС;1783,81;20448;18664,19;1783,81;0,17323;3;0;-95,95;18;5;23,6
OCS Центральный офис;К0029247;Связной ИМ;104529,49;2410115,09;2305585,6;134459,05;161,280787;155;0;86996,6471;29199;629;0
OCS Центральный офис;К0029305;Системы МОРЗЕ;19043,47;76664,57;57621,1;19043,47;14,880175;10;0;298,2644;4766;90;1972,1192
OCS Центральный офис;К0029315;Эдил-Импорт;1281,97;72828,28;71546,31;1322,47;13,363218;8;0;244,0186;276;26;0
OCS Центральный офис;К0029370;ФРОНТЛИНК;6;416;410;6;0,0006;1;0;0;2;1;16,64
OCS Центральный офис;К0029388;Картридж-Центр;-7972,15;6658,16;14630,31;-7972,15;0,346962;4;0;0;982;45;0
OCS Центральный офис;К0029409;ЛАНИТ Северо-Запад;3123,58;16611,95;13488,37;3123,58;0,343909;9;0;0,6606;171;12;101,9876
OCS Центральный офис;К0029486;ОКсистемс Ретейл;4653,69;48580;43926,31;4653,69;0;1;0;0;3444;6;0
OCS Центральный офис;К0029555;АТС Дизайн;-505,51;764,82;1270,33;-505,51;0,028006;4;0;1059,65;59;13;30,5928
OCS Центральный офис;К0029561;Запад-Связь;96,19;233,76;137,57;96,19;0,005548;1;0;0;4;1;9,3504
OCS Центральный офис;К0029562;Тэкстеп;10,62;81,3;70,68;10,62;0,010488;3;0;0;2;16;3,252
OCS Центральный офис;К0029600;ПроКом Системы;243,23;1783,59;1540,36;243,23;0,11672;4;0;9,7638;9;8;2,2248
OCS Центральный офис;К0029611;НЬЮКОМ;3652,47;25845,04;22192,57;3652,47;3,508492;9;0;235,258;75;17;368,7072
OCS Центральный офис;К0029633;Форте Нетсервисез;113,3;1061,2;947,9;113,3;0,03808;1;0;0;1;1;0
OCS Центральный офис;К0029636;Джи Пи Инжиниринг;74,4;305,76;231,36;74,4;0,0198;1;0;0;6;1;12,2304
OCS Центральный офис;К0029689;ИнтегКом;303,38;1070,36;766,98;303,38;0,413468;2;0;0;9;7;26,016
OCS Центральный офис;К0029741;Группа компаний ИБК;972,71;7568,71;6596;972,71;0,567311;42;0;48,0674;162;63;47,8588
OCS Центральный офис;К0029816;СПб-Галаксис;713,87;2205;1491,13;713,87;0,001323;1;0;1490,5;63;1;88,2
OCS Центральный офис;К0029877;Ин-Про;395,44;1863,46;1468,02;395,44;0,071461;7;0;0;101;23;31,442
OCS Центральный офис;К0029891;Точка-М;-486,85;6439,99;6926,84;-486,85;0,0605;1;0;680,0497;1;1;0
OCS Центральный офис;К0029900;Компьютер Плаза;344,18;1793,93;1449,75;365,89;0,071637;6;0;1,075;11;6;42,1832
OCS Центральный офис;К0029946;Энтер-Н;2002,61;213916,73;211914,12;2999,3;9,877287;38;0;18580,6191;2359;154;0
OCS Центральный офис;К0030069;Террос;644,26;4683,58;4039,32;644,26;0,214653;10;0;145,87;56;11;140,7064
