РБЮ;КлиентНомер;КлиентКрНаим;Прибыль, usd;Цена суммарная;Себестоимость по Заказу , usd;Прибыль с учетом рибейтов;Объём по Накладной, м3;Общее Количество Заказов;Коррекция продактов ЦО в РБЮ;Коррекция продактов сейлам;Количество шт. в Накладной;Заказ Количество Строк;Доход конвертационный, usd
OCS Центральный офис;10003;КОНСТАНТА;2358,2;19545;17186,8;1605,93;2,726406;39;0;125,9298;351;108;-188
OCS Центральный офис;1000629;АДП Кабельные Сети;8221,64;22516,28;14294,64;8221,64;1,828074;38;0;2,9472;1470;86;669,6524
OCS Центральный офис;1000640;NetSL;-94,67;58350,7;58445,37;-94,67;3,217208;18;0;595,1606;176;61;127,9928
OCS Центральный офис;1000645;Jet Infosystems;313524,82;3253459,25;2939934,43;313524,82;70,709374;129;0;18513,1454;48282;701;9122,1388
OCS Центральный офис;1000673;Крок;1647735,92;14274052,92;12626317;1667274,71;316,477319;272;67,205;32809,4811;29813;1135;0
OCS Центральный офис;1000681;НИКС ООО;50974,78;1873651;1822676,22;50974,78;160,328041;15;0;31330,3066;44119;4062;0
OCS Центральный офис;1000706;Визард;92582,95;1003176,06;910593,11;92582,95;102,783069;77;0;16958,0518;4573;163;22,072
OCS Центральный офис;1000712;ЛанХост;2607,67;21764,77;19157,1;2607,67;0,110126;10;0;0;2520;17;870,5908
OCS Центральный офис;1000733;Терра Линк;34230,56;399106,28;364875,72;30232,03;11,6106;34;0;423,9784;341;60;62,7988
OCS Центральный офис;1000746;Compulink;461429,47;4228945,96;3767516,49;252036,13;22,171969;31;0;-399292,7159;2169;506;157,4756
OCS Центральный офис;1000747;Варум;21654,13;273866,89;252212,76;21654,13;20,428834;51;0;4305,9856;1319;195;0
OCS Центральный офис;1000756;Элвио-Экспресс;318,86;2085,98;1767,12;318,86;0,297902;4;0;1,6059;9;8;0
OCS Центральный офис;1000758;STEP;440727,5;7563835,93;7123108,43;440727,5;105,934911;234;0;74255,4314;24938;1557;0
OCS Центральный офис;1000765;Инел;-37227,19;201343,57;238570,76;-37227,19;4,56247;48;0;6936,1746;1733;110;0
OCS Центральный офис;1000789;Эльбрус-2000;4690,66;60237,95;55547,29;894,61;1,315138;8;0;0;72;12;393,2448
OCS Центральный офис;1000801;Вайден;197,8;2174,99;1977,19;197,8;0,148673;4;0;24,03;37;7;22,5536
OCS Центральный офис;1000822;СЕТЕВАЯ лаборатория;179094,34;3176289,24;2997194,9;179094,34;353,021209;31;0;62944,2707;76124;4015;0
OCS Центральный офис;1000823;Диона;99577,9;484550,21;384972,31;99577,9;8,503938;5;0;15913,697;6844;322;20,12
OCS Центральный офис;1000827;КомпьюТел;152312,12;4815284,02;4662971,9;152312,12;23,814642;39;0;41954,4099;5155;311;0
OCS Центральный офис;1000829;РубаТех;492,42;2798,69;2306,27;492,42;0,219414;5;0;0;10;8;90,4972
OCS Центральный офис;1000831;АСТЕРОС;65903,94;421757,01;355853,07;69574,73;9,685077;57;0;1725,8168;669;181;659,0472
OCS Центральный офис;1000843;Западная техника;1451,31;160395,2;158943,89;1451,31;4,16449;21;20,8141;12405,6618;311;120;21,76
OCS Центральный офис;1000844;Кинетика;49,05;946,6;897,55;49,05;0,006144;2;0;0;4;2;0
OCS Центральный офис;1000857;Мерлион;9556,5;104315,97;94759,47;9556,5;32,213589;6;0;219,3136;1323;60;0
OCS Центральный офис;1000899;Ами-Сети;47937,7;1694480,45;1646542,75;47937,7;122,273653;32;0;23423,1705;15541;417;0,96
OCS Центральный офис;1000909;Эксимер;97,41;1810;1712,59;97,41;0,007462;1;0;0;2;2;0
OCS Центральный офис;1000910;ЛайтНэт Комплекс;108075,67;2159349,24;2051273,57;108054,16;55,173818;354;0;7067,55;5382;958;1354,7828
OCS Центральный офис;1000915;ИБС Платформикс;798360,7;7754006,97;6955646,27;716478,54;120,713882;429;0;89074,264;9442;859;0
OCS Центральный офис;1000920;Ромбо проекты;87175,66;779556,45;692380,79;54725,68;45,682242;68;443,4745;2021,9294;1226;229;0
OCS Центральный офис;1000945;Нобел;1067,12;48341,23;47274,11;1067,12;5,952778;49;0;991,571;417;76;159,9016
OCS Центральный офис;1000970;ТОПСБИ;3390,68;92566,36;89175,68;-5857,75;0;2;0;0;253;4;0
OCS Центральный офис;1001011;Ланит;2653,28;731669,13;729015,85;7160,56;58,254879;85;0;5011,4175;5860;204;0
OCS Центральный офис;1001024;Belmont;6133,76;627472,61;621338,85;6133,76;24,606773;142;0;33354,2549;2639;427;253,3252
OCS Центральный офис;1001026;Д-Факто;1290,21;113983,75;112693,54;1290,21;3,150605;21;0;736,9437;866;51;808,9208
OCS Центральный офис;1001038;ТИСком;6498,39;146566,62;140068,23;6498,39;4,623149;66;0;3769,6565;762;115;683,3204
OCS Центральный офис;1001055;АСА Продакшн;1968,31;41437,99;39469,68;-1628,89;0,533625;4;0;67,5273;40;8;57,1872
OCS Центральный офис;1001066;CSS;83,23;1250,12;1166,89;83,23;0,019273;4;0;0;15;5;0
OCS Центральный офис;1001067;ИНФОРМСВЯЗЬ ХОЛДИНГ;14365,06;186958,4;172593,34;14365,06;4,788357;23;0;202,7363;554;115;36,1548
OCS Центральный офис;1001074;Pixel;14237,58;137062,11;122824,53;14237,58;29,160947;22;0;319,0113;1059;41;101,9088
OCS Центральный офис;1001106;АЛАС;108,1;1461,27;1353,17;108,1;0,191765;7;0;0;18;11;51
OCS Центральный офис;1001115;Фобос плюс;8742,92;188609,87;179866,95;-41759,78;1,345728;2;0;108,5712;49;18;0
OCS Центральный офис;10022;КОМ;582,4;6213,75;5631,35;582,4;0,741762;18;0;29,5754;56;24;12,3616
OCS Центральный офис;1002300;RRC Msk;157602,03;2008449,18;1850847,15;157602,03;14,59249;5;0;1913,27;24;7;75,4872
OCS Центральный офис;1002308;Технотрейд;36863,63;690193,55;653329,92;42312,83;82,903238;12;0;8599,9332;9319;325;0
OCS Центральный офис;1002327;ЕТФ-ФлэшТрейд;18712,36;166867,75;148155,39;18893,56;11,920527;108;0;3781,2588;867;207;0
OCS Центральный офис;1002338;Комп. Бизнес Системы;37234,21;296157,03;258922,82;37234,21;7,887373;102;0;538,5598;1519;205;538,9136
OCS Центральный офис;1002360;Медианн-Решения;633,35;9760,03;9126,68;633,35;1,435146;8;0;0;111;28;308,8396
OCS Центральный офис;1002372;НКТЕК;-147,7;19807,78;19955,48;-147,7;0,414982;11;0;0;69;21;203,1424
OCS Центральный офис;1002374;МИКРОТЕСТ;8685,88;59426,02;50740,14;8685,88;2,233785;16;0;40,53;1214;32;0
OCS Центральный офис;1002390;Консом СКС;3555,04;31201,82;27646,78;5029,87;1,984972;23;0;0;84;40;780,102
OCS Центральный офис;1002395;Атлантис;-645,45;15244,03;15889,48;-645,45;0,681732;4;0;2018,5572;141;18;0
OCS Центральный офис;1002439;Комптек;41,48;1741,5;1700,02;41,48;0,067588;1;0;0;9;1;0
OCS Центральный офис;1002440;СТЭЛ;2508,18;16827,76;14319,58;2508,18;0,022781;2;0;0;3;3;6,3504
OCS Центральный офис;1002443;Вестер-Инфо;162,36;740,99;578,63;162,36;0,193842;2;0;0;7;6;0
OCS Центральный офис;1002449;ТАУЭР;4256,26;30406,12;26149,86;4256,26;1,935584;7;0;0;389;33;5,392
OCS Центральный офис;1002495;ТРИНИТИ СОЛЮШНС;180935,45;5482396,43;5301460,98;183171,46;145,967441;112;0;92682,4265;22775;458;1383,2
OCS Центральный офис;1002514;Флит-сетевые технологии;125,45;529,88;404,43;125,45;0,038774;1;0;0;496;5;0
OCS Центральный офис;1002518;Ай-Теко;200956,81;5620860,62;5419903,81;196755,44;178,373357;283;0;83964,507;15553;1444;2065,0176
OCS Центральный офис;1002519;Карин;1419,15;45045,01;43625,86;1419,15;3,675289;23;0;222,0334;448;93;0
OCS Центральный офис;1002520;Софт- Троник Мск;-539,27;6096,2;6635,47;-539,27;0,725915;3;0;879,121;239;3;0
OCS Центральный офис;1002593;АСТ;9047,48;34711,6;25664,12;9047,48;4,948985;7;0;1098,1076;282;52;977,292
OCS Центральный офис;1002608;D-Link;-2099,07;64551,88;66650,95;-2099,07;3,386317;2;0;229,26;729;31;0
OCS Центральный офис;1002615;АМТ Груп;96380,68;798900,81;702520,13;124134,21;6,387081;46;0;11241,9896;3254;279;0
OCS Центральный офис;1002643;Гелиос ИТ;26996,26;552773,91;525777,65;33001,22;12,656788;21;0;11780,9747;1241;95;820,7704
OCS Центральный офис;1002659;АТЛОН;15293,14;155041,26;139748,12;15293,14;21,314737;66;0;106,6116;1066;143;180,1288
OCS Центральный офис;1002671;Инжиниринг+Электрон;1191,16;4996,02;3804,86;1191,16;0,25326;2;0;4,6066;16;2;0
OCS Центральный офис;1002687;ПРАЙМ ГРУП;10096,61;48896,55;38799,94;10096,61;1,062833;4;0;8,2037;1524;30;0
OCS Центральный офис;1002689;ADV Consulting;380,92;968,7;587,78;380,92;0,00756;1;0;0;15;1;0
OCS Центральный офис;1002709;Классика МПО;41426,66;586592,18;545165,52;41426,66;2,439476;15;0;826,0169;582;71;10508,5475
OCS Центральный офис;1002715;С+С;15,31;412,67;397,36;15,31;0,012088;2;0;0;3;3;0
OCS Центральный офис;1002747;КОМПАК-проект;-638,72;12600,58;13239,3;-638,72;0,515057;13;0;1242,4517;65;27;0
OCS Центральный офис;1002807;АйТи;579839,68;5337693,04;4757853,36;603944,47;188,09853;103;0;417607,1655;17326;538;31496,0984
OCS Центральный офис;1002852;Алльянс-Факторс Би-Си-Эс;320,41;915,01;594,6;320,41;0,01551;2;0;0;2;2;0
OCS Центральный офис;1002877;Нетком;2074,58;18275,13;16200,55;2074,58;1,611682;76;0;1123,0521;210;91;245,4956
OCS Центральный офис;1002972;СХС;275,3;6347,59;6072,29;275,3;0,083898;8;0;10,8816;30;21;0
OCS Центральный офис;1003007;КомпьюВэй;31479,49;605331,59;573852,1;33179,87;16,62767;59;102,4712;9933,2043;1595;152;491,2776
OCS Центральный офис;1003011;"TORGOVIY DOM ""SOBIT";35937,04;466568,21;430631,17;35937,04;68,40117;339;0;3917,6898;4043;959;4440,3302
OCS Центральный офис;1003015;Инлайн технолоджис;326556,88;3254959,29;2928402,41;327109,21;25,19236;67;0;-64082,6752;7485;566;16485,3672
OCS Центральный офис;1003080;ВЕСТКОМП ПЛЮС;1772,99;6971;5198,01;1772,99;1,349154;3;0;0;4;4;237,705
OCS Центральный офис;1003090;ЭкоАРТ;27118,24;229797,36;202679,12;27118,24;18,764789;161;129,9722;1839,2222;958;247;943,372
OCS Центральный офис;1003111;Икс-ком.ру;74113,25;1135827,42;1061714,17;87465,86;136,834443;845;0;29278,1059;24131;3095;31,6488
OCS Центральный офис;1003148;Интелком НПЦ;26276,77;252927,94;226651,17;26729,04;18,708598;40;0;1818,0973;2256;208;74,6932
OCS Центральный офис;1003164;Лангарден;153,38;4656,94;4503,56;153,38;0,183731;5;0;101,1813;18;6;15,624
OCS Центральный офис;1003197;ЭйСи-групп;16562,89;262989,44;246426,55;13410,39;5,548503;46;73,2699;2064,1492;1276;123;631,6452
OCS Центральный офис;1003202;ИнКомА;-104,12;5673,17;5777,29;-104,12;0,413946;9;0;25,5563;55;11;22,8724
OCS Центральный офис;1003216;Частное лицо Москва;-15383,21;232081,79;247465;-15383,21;64,039814;18;30,6326;16476,2224;4479;2505;0
OCS Центральный офис;1003225;ЭЙ ЭМ ЭС;3898,82;23678,75;19779,93;3898,82;1,856161;5;0;0;27;7;844,032
OCS Центральный офис;1003235;СОВРЕМЕННЫЕ СИСТЕМЫ;43646,59;378717,83;335071,24;43646,59;3,286702;14;0;-158,4447;52;36;0
OCS Центральный офис;1003278;Гег-центр;482,55;6331,81;5849,26;482,55;0,102649;7;0;6,8137;12;11;152,892
OCS Центральный офис;1003283;ОРИОН-ТЕХНИКС;52,12;1380;1327,88;52,12;0,00132;1;0;0;3;1;55,2
OCS Центральный офис;1003294;"АО ""Энвижн Груп""";123478,72;1417190,91;1293712,19;133607,72;38,820465;25;0;7770,4826;958;69;0
OCS Центральный офис;1003322;Рой Интернэшнл Консалтанси, ИНК;2158,24;36804;34645,76;2158,24;0,162;2;0;0;2;2;0
OCS Центральный офис;1003332;ВИЛТРОН;749,05;5450,18;4701,13;749,05;0,212404;10;0;0;42;21;48,16
OCS Центральный офис;1003365;ЦИП;3383,2;18355,61;14972,41;3383,2;3,382117;35;0;50,8533;161;59;59,7928
OCS Центральный офис;1003385;Форум-Центр;22093,82;371610,55;349516,73;22265,35;28,020654;145;0;3633,9679;6069;1036;2453,6196
OCS Центральный офис;1003437;Квантовые приборы;5094,59;61859,48;56764,89;5094,59;2,909874;36;0;485,9769;318;102;113,284
OCS Центральный офис;1003487;Profound;2502,69;26529,32;24026,63;2502,69;2,849714;10;0;76,1096;499;129;0
OCS Центральный офис;1003516;НетТрейдинг;11038,55;73756,69;62718,14;11038,55;5,162486;123;43,4446;1903,8155;342;143;149,7604
OCS Центральный офис;1003517;ИНФОРМЗАЩИТА;5242,04;21458,58;16216,54;5242,04;1,814881;8;0;58,85;1226;13;0
OCS Центральный офис;1003596;Солтон СГ;2103,67;34019,78;31916,11;2103,67;1,998574;13;0;2159,2;94;20;789,3312
OCS Центральный офис;1003612;Печатное решение Эврика;17175,63;479726,48;462550,85;17175,63;36,57394;105;5186,8606;8443,9327;3135;451;43,25
OCS Центральный офис;1003682;Новак-М;665,22;3904,65;3239,43;665,22;0,575295;4;0;0;30;8;5,44
OCS Центральный офис;1003732;Аваланд СИ;23692,65;205589,88;181897,23;23692,65;15,259672;72;0;801,195;2768;247;30,4276
OCS Центральный офис;1003743;ТелеСвязь;5550,8;15522,16;9971,36;5550,8;0,202689;5;0;25;31;13;477,456
OCS Центральный офис;1003749;Лан-Проект;1336,06;102042,43;100706,37;1336,06;5,543978;13;0;1964,53;61;25;3025
OCS Центральный офис;1003769;APC Москва;889,17;4143,74;3254,57;889,17;0,282429;3;0;152,2406;12;3;0
OCS Центральный офис;1003809;IBM World Trade Corporation;-5605,61;19459,31;25064,92;-5605,61;0,4945;4;0;57,9511;23;10;0
OCS Центральный офис;1003863;АЛП-96;3112,14;36803,53;33691,39;6593,45;1,323623;14;0;0;103;59;704,7864
OCS Центральный офис;1003902;АйТек;5437,89;291261,44;285823,55;6410,2;15,48265;235;0;3912,8435;1040;422;648,6372
OCS Центральный офис;1003962;ИНЛАЙН ГРУП;878370,48;4012097,17;3133726,69;506077,59;31,22388;61;0;25755,4268;2475;259;0
OCS Центральный офис;1004020;Крафтвэй;24937,21;622318,49;597381,28;26345,32;6,466077;46;0;9201,0517;7456;69;11734,8436
OCS Центральный офис;1004023;INTERLINK;18901,48;70842,54;51941,06;19627,79;17,844482;112;0;164,6351;453;159;0
OCS Центральный офис;1004042;Диском НТ;-36703,92;43621,76;80325,68;-36703,92;3,340331;11;0;40355,0333;284;13;0
OCS Центральный офис;1004051;ХАЙТЕД;11,89;311;299,11;11,89;0,030742;1;0;0;2;1;12,44
OCS Центральный офис;1004077;Компания Караван;6200,61;37428,58;31227,97;6200,61;1,765513;12;0;4,4105;139;42;133,4884
OCS Центральный офис;1004091;ХОПЕР;49,71;550;500,29;49,71;0,00017;1;0;0;2;1;22
OCS Центральный офис;1004114;ВИСТ Групп;29964,63;401357,33;371392,7;-2960,28;5,011315;41;0;6251,8758;835;150;0,8748
OCS Центральный офис;1004140;ТП;6746,98;107108,75;100361,77;6746,98;29,231863;341;279,6067;2683,8325;519;378;238,7248
OCS Центральный офис;1004183;СКАН;-23995,4;873070,6;897066;-23995,4;36,197558;15;0;0,711;787;87;716,928
OCS Центральный офис;1004192;Теллур-Сет. техн.;4,22;927,31;923,09;4,22;0,01555;3;0;37,2206;102;4;19,56
OCS Центральный офис;1004252;ИНФОСЭЛ;192036,77;1234941,34;1042904,57;192036,77;95,199121;46;0;4381,0563;5289;893;1352,3668
OCS Центральный офис;1004297;Ф-центр;-6456,96;318527,14;324984,1;-6204,1;14,64362;47;0;16548,8648;3013;179;4416,173
OCS Центральный офис;1004306;СИ БИ ЭС;763;3940;3177;763;0;1;0;0;2;1;157,6
OCS Центральный офис;1004568;СофтЛайн Трейд;237606,05;2504320,83;2266714,78;236503,36;62,908629;325;0;33970,0415;21381;566;27434,7828
OCS Центральный офис;1004604;ИЦ ТЕЛЕКОМ-СЕРВИС;14425,26;82751,32;68326,06;14425,26;26,021684;4;0;548,7;727;58;0
OCS Центральный офис;1004660;Микс  ДК;7784,92;111631,65;103846,73;7784,92;3,669507;17;0;2583,1951;310;46;0
OCS Центральный офис;1004727;Алвар;6153,87;75854,19;69700,32;6153,87;0,836405;9;0;68,5157;155;25;79,56
OCS Центральный офис;1004735;Логопринт;277,88;4030,9;3753,02;277,88;0,00392;3;0;0;187;6;0
OCS Центральный офис;1004786;ИВК;4712,39;62698,52;57986,13;6991,5;1,911707;16;0;0;439;35;2516,904
OCS Центральный офис;1004800;Тексис Груп;1617,83;5345,43;3727,6;1617,83;0,430837;9;0;0;58;10;162,7032
OCS Центральный офис;1004815;Интегрис;42563,41;293998,45;251435,04;24802,25;23,056112;28;0;0;203;73;30,0424
OCS Центральный офис;10050;ЭЛЬДОРАДО;96240,27;862865,39;766625,12;101727,24;188,510813;76;0;3521,1337;23350;329;0
OCS Центральный офис;1005019;КомпЦентр;264,96;4815,61;4550,65;264,96;0,220387;12;0;94,86;27;14;33,5
OCS Центральный офис;1005079;ТИС Сервис центр;976,7;18185,19;17208,49;1337,72;4,400421;7;0;87,552;104;18;188,2944
OCS Центральный офис;1005096;Олинс;39613,09;533056,34;493443,25;39613,09;4,760312;2;0;0;4;4;0
OCS Центральный офис;1005100;МАК-ТРЕЙД;9,58;57,61;48,03;9,58;0,002244;1;0;0;2;1;0
OCS Центральный офис;1005236;Нордкомп;441,59;2622,55;2180,96;441,59;0,221142;3;0;0;22;9;35,964
OCS Центральный офис;1005250;ТелКо Групп;-6533,66;110999,44;117533,1;-6533,66;14,182437;30;0;8435,7531;3493;43;0
OCS Центральный офис;1005271;Т-Платформы;-301356,82;1686469,93;1987826,75;-301356,82;3,638143;20;0;242274,8343;3632;63;0
OCS Центральный офис;1005281;Стандарт Системы М;603,12;4088,23;3485,11;603,12;0,35802;1;0;0;6;1;0
OCS Центральный офис;1005336;АРМО-ГРУПП;-9805,13;41481,04;51286,17;-9805,13;0,731584;19;0;0,0721;300;58;878,716
OCS Центральный офис;1005588;ЕС-лизинг;86,59;622;535,41;86,59;0,000048;1;0;0;2;1;0
OCS Центральный офис;1005595;АРТИ Фирма;13882,29;122332,74;108450,45;14074,24;12,930813;112;0;271,6977;816;397;0,4996
OCS Центральный офис;1005597;А.М. ПК-Центр;-96,13;18968,11;19064,24;-96,13;1,271022;12;0;398,6385;30;13;175,666
OCS Центральный офис;1005621;РЕСТРКОМ;10334;107254,09;96920,09;10334;9,154924;63;0;84,0764;1201;245;305,9496
OCS Центральный офис;1005636;Лаборатория ВМ;35,1;1058,75;1023,65;35,1;0,016556;1;0;0;3;3;0
OCS Центральный офис;1005682;Оберон;13693,14;157687,18;143994,04;13693,14;0,434266;5;0;4007,4131;488;46;4,7956
OCS Центральный офис;1005702;Эктив Телеком;-7656,14;76856,09;84512,23;-7656,14;7,486616;9;0;13869,808;8726;53;0
OCS Центральный офис;1005729;NBZ Computers;27201,75;199838,12;172636,37;27201,75;8,070301;102;0;850,6589;863;241;236,678
OCS Центральный офис;1005875;СТСС;-12919,3;64062,63;76981,93;-12919,3;1,930881;46;0;16683,8202;275;55;221,9768
OCS Центральный офис;1005918;Ителон;13914,63;142269,08;128354,45;13830,79;8,949293;42;0;349,8175;286;64;0
OCS Центральный офис;1005971;Фуджитсу Технолоджи Солюшнз;19154,46;440058,29;420903,83;19154,46;9,322567;17;0;1567,7483;168;54;0
OCS Центральный офис;1005985;Агентство Бизнес Коммуникаций;;0;2198,07;-2198,07;0,052003;1;0;2198,07;24;12;0
OCS Центральный офис;1006012;СОВТЕЛ;3197,89;12993,4;9795,51;3197,89;0,010975;3;0;0;11;6;474,24
OCS Центральный офис;1006063;Диона Холдинг;7958,69;44560,55;36601,86;7958,69;0,203249;1;0;0;32;17;0
OCS Центральный офис;1006064;Микроинформ;5981,66;46849,06;40867,4;5981,66;0,000325;4;0;0;413;5;0
OCS Центральный офис;1006168;ЛАИС;1184,54;23225,89;22041,35;1184,54;0;1;0;0;22;3;0
OCS Центральный офис;1006183;Модуль;2504,56;19785,48;17280,92;2504,56;0,495731;15;0;0;52;22;0
OCS Центральный офис;1006315;Виарт-2000;-125085,74;15516,29;140602,03;-125085,74;1,873189;4;0;79747,5155;3339;65;0
OCS Центральный офис;1006338;КН Авто Модерн;761,18;5731,35;4970,17;761,18;0,758598;6;0;38,4795;38;11;3
OCS Центральный офис;1006364;Ксерокс (СНГ);4879,52;39872,17;34992,65;4879,52;14,289072;9;0;243,49;313;17;0
OCS Центральный офис;1006403;Новая техника;22,55;360,12;337,57;22,55;0,009792;1;0;0;1;1;0
OCS Центральный офис;1006422;КИТ-Сервис;70,56;742;671,44;70,56;0,005806;1;0;0;2;2;0
OCS Центральный офис;1006429;Тристан;11353,86;73504,45;62150,59;11353,86;6,528128;9;0;829,6516;75;19;0
OCS Центральный офис;1006518;Планеташоп.ру;10299,11;75129,16;64830,05;10341,2;24,68115;92;0;164,2829;314;201;0
OCS Центральный офис;1006578;С-Терра СиЭсПи;203,56;1224,21;1020,65;203,56;0,0184;1;0;0;10;1;0
OCS Центральный офис;1006619;Юниваль;374,89;1320,06;945,17;374,89;0,0546;2;0;0;2;2;0
OCS Центральный офис;1006625;ДНС;575532,75;7401443,84;6825911,09;599645,11;2023,189841;459;0;103246,0145;136532;21104;-30,1464
OCS Центральный офис;1006654;МЕТРО Кэш энд Керри;-11531,22;403216,33;414747,55;-4580,37;98,795248;2040;-172,3667;62562,9766;52417;9780;0
OCS Центральный офис;1006736;ЭНТЕГРУМ;1804,2;43897,36;42093,16;1804,2;2,699606;13;0;23,422;2314;74;53,752
OCS Центральный офис;1006954;Мастер-М;1688,7;23013,83;21325,13;1688,7;2,606361;31;0;37,9576;207;82;65,14
OCS Центральный офис;1006981;Пилот (Группа компаний Пилот);4648,32;62348,91;57700,59;4648,32;4,00637;14;0;704,3;315;29;90,64
OCS Центральный офис;1006990;Netcube;1376,61;31462,38;30085,77;1376,61;1,130511;15;0;0;48;23;6,52
OCS Центральный офис;1007011;АНД;8033,81;51630,95;43597,14;8033,81;3,552683;104;0;235,7447;433;137;1060,9868
OCS Центральный офис;1007160;ЛЕТА Инжиниринг;5432,35;54888,05;49455,7;5432,35;0,343248;13;0;0;505;32;0
OCS Центральный офис;1007198;ИНВЕНТ;19914,19;103336,59;83422,4;20310,35;3,535591;40;0;679,1598;293;128;114,2244
OCS Центральный офис;1007200;Цифровой Мир-ИОН;22945,24;265351,08;242405,84;27856,45;18,746982;43;0;5784,7315;16011;255;0
OCS Центральный офис;1007204;ЛанКей Информационные Системы;1722,82;36177,48;34454,66;1722,82;0,71618;7;0;133,9166;40;12;33,8304
OCS Центральный офис;1007224;ССТ;522,03;9294,61;8772,58;522,03;0,375108;11;0;581,5368;196;23;152,124
OCS Центральный офис;1007240;АНТ-Информ;24331,79;251315,28;226983,49;24228,67;11,92589;43;0;6100,0971;1022;193;0
OCS Центральный офис;1007253;Сетевые проекты;262,06;1623,17;1361,11;262,06;0,179158;2;0;0;3;3;36,028
OCS Центральный офис;1007259;Вега - дилер;250,42;3995,52;3745,1;250,42;0,304154;7;0;1,5776;9;7;144,8
OCS Центральный офис;1007325;Союз-Энерго;346,13;969,88;623,75;346,13;0,090845;3;0;0;130;32;0
OCS Центральный офис;1007330;СИСТЕМНЫЕ РЕШЕНИЯ;18137,24;254418,66;236281,42;18137,24;39,071486;141;0;4131,6237;1746;237;548,2844
OCS Центральный офис;1007361;Сети Телеком;210,53;1221,22;1010,69;210,53;0,060444;3;0;0;8;5;31,7884
OCS Центральный офис;1007506;Кросс Поинт;718,58;8463,86;7745,28;718,58;0,894917;5;0;27,8906;83;13;22
OCS Центральный офис;1007597;LEAN;105,72;1793,95;1688,23;105,72;0,1776;7;0;70,636;14;13;0
OCS Центральный офис;1007598;Перао;17,85;41;23,15;17,85;0,00125;1;0;0;10;1;0
OCS Центральный офис;1007619;ИнфоТим;8353,53;45025,97;36672,44;8353,53;0,017154;5;0;2810,2707;34;9;145,6
OCS Центральный офис;1007703;Тензор-Телеком.;16238,63;44651,12;28412,49;16238,63;0,620848;12;0;-40,2321;12692;31;1257,5624
OCS Центральный офис;1007790;Рик-ком;28803,42;246852,12;218048,7;-600,38;20,616727;44;0;365,3383;826;155;482,5708
OCS Центральный офис;1007843;Скайт;381,53;7378;6996,47;381,53;0,13444;1;0;0;5;3;0
OCS Центральный офис;1007853;Лоджик Системс;8381,77;211223,81;202842,04;8381,77;6,266513;91;0;275,4612;1143;128;493,5504
OCS Центральный офис;1007895;Джей энд Раф;1387,95;5369,38;3981,43;1387,95;0,379455;9;0;0;20;26;71,4912
OCS Центральный офис;1007934;Радиуc Груп;-4777,06;100886,26;105663,32;-4777,06;0,795841;8;0;14573,2791;77;19;368,408
OCS Центральный офис;1007985;АЛМЕР;168,11;348,45;180,34;168,11;0,14985;1;0;0;1;1;0
OCS Центральный офис;1007995;Содействие ТЦ;2416,75;14752,82;12336,07;2416,75;1,345336;25;0;0;433;66;120,7204
OCS Центральный офис;1008002;СЛТ-Системс Сервис;439,33;4258,16;3818,83;439,33;0,492793;19;0;0;186;35;127,52
OCS Центральный офис;1008044;Беркут;1888,83;10166,47;8277,64;1888,83;0,163072;5;0;18,247;15;6;23,992
OCS Центральный офис;1008049;ПК СтройТехноХолдинг;231,55;1320,27;1088,72;231,55;0,619674;1;0;0;2;2;0
OCS Центральный офис;1008099;Технопарк Электрофлот Актеон;22550,74;132291,69;109740,95;22673,19;27,106069;9;0;802,0211;1314;44;0
OCS Центральный офис;1008113;Информтехника;91,02;1273,76;1182,74;91,02;0,091392;2;0;0;8;2;0
OCS Центральный офис;1008124;"ЗАО ""Ай Эс Джи"" (г. Москва)";64,73;1075,42;1010,69;64,73;0,020768;2;0;0;2;2;0
OCS Центральный офис;1008148;Синтег;10341,18;168456,89;158115,71;10341,18;13,863075;19;0;719,7769;354;39;99,0496
OCS Центральный офис;1008172;Нотик;28412,62;642485,83;614073,21;34425,68;25,276998;133;0;13796,8052;1201;398;0
OCS Центральный офис;1008186;СвязьПроект НПО;46,49;870;823,51;46,49;0,00576;1;0;0;3;1;0
OCS Центральный офис;1008198;САТЕЛ;-4734,63;239015,8;243750,43;-4734,63;22,874842;15;0;15055,375;4517;47;8
OCS Центральный офис;1008211;Совр. интел. системы;3220,08;6582;3361,92;3220,08;0,770464;2;0;5,02;190;8;217,84
OCS Центральный офис;1008238;Прайм Копи;1597,82;14949,7;13351,88;1597,82;2,520533;15;0;0;107;37;0
OCS Центральный офис;1008246;СИТИ-трон;468;3385,95;2917,95;468;0,205769;13;0;181,84;32;20;60,4392
OCS Центральный офис;1008349;ОТР 2000;10959,14;186535,15;175576,01;10959,14;1,720478;16;0;211,0362;324;44;92,0784
OCS Центральный офис;1008563;Альтерис;6762,63;40817,84;34055,21;6762,63;0,798986;20;0;0,1162;68;43;21,4076
OCS Центральный офис;1008741;Русинтехноком;-2319,34;4187,28;6506,62;-2319,34;0,051414;1;0;2530,14;2;2;0
OCS Центральный офис;1008743;БизнесИнтегро;6455,5;127868,89;121413,39;6455,5;6,779019;61;0;5154,3215;1706;222;81,7048
OCS Центральный офис;1008910;Кентан;341,45;4630,2;4288,75;341,45;0,761658;3;0;0;9;5;0
OCS Центральный офис;1008956;R-Style;259647,56;1638333,27;1378685,71;269881,06;88,863733;43;0;-39195,1074;9044;143;296,3676
