КлиентНомер;КлиентКрНаим;Прибыль, usd;Цена суммарная;Себестоимость по Заказу , usd;Прибыль с учетом рибейтов;Объём по Накладной, м3;Общее Количество Заказов;Коррекция продактов ЦО в РБЮ;Коррекция продактов сейлам;Количество шт. в Накладной;Заказ Количество Строк;Доход конвертационный, usd
К0023282;Холинс (г. Нижневартовск);791,45;2822,26;2030,81;791,45;0,030188;2;0;0;20;5;80,1184
К0023284;Ефимова  (г. Курган);577,38;2945,58;2368,2;577,38;0,955431;10;4,988;0;13;12;1,976
К0023563;ЭнергоСтрой;3564,35;35941,18;32376,83;3564,35;0,250071;7;0;0;55;18;1076,7951
К0023583;Чел-Мастер;655,49;1384,74;729,25;655,49;0,77688;1;0;0;1;1;0
К0023766;ГК ИСети;1112,16;8434,71;7322,55;1112,16;1,55886;10;18,56;0;52;16;9,8844
К0023768;ИП Шоломова И.В.;183,98;2137,87;1953,89;183,98;0,136932;4;1,5084;0;24;16;56,3588
К0023856;Си-Пи-Эс;2092,08;19909,25;17817,17;2092,08;1,608226;20;594,9156;0;147;70;314,208
К0023859;"ООО ""Компания ""Север""";1770,37;80391,39;78621,02;1770,37;12,953948;6;1227,0406;0;511;62;0
К0024085;Секьюрити Эксперт;351,14;15960,34;15609,2;351,14;0,57054;15;63,3722;0;215;28;552,2968
К0024150;СтарБит;163,37;2064,29;1900,92;163,37;0,263887;6;12,6244;230,41;84;38;82,5716
К0024179;Аттер;897,19;2652;1754,81;897,19;0,056028;1;0;0;6;1;0
К0024241;"ООО ИТЦ ""АСУ-Проект""";178,1;1696;1517,9;178,1;0,198;1;0;0;2;2;67,84
К0024278;Офис-Маркет (г.Тюмень);45,62;155,04;109,42;45,62;0,08568;1;0;0;1;1;0
К0024303;"ООО ""Системы Папилон""";1050;2660,64;1610,64;1050;0,1656;1;0;0;9;1;0
К0024305;Электротехпром-ЭМУ;28,39;229,41;201,02;28,39;0,03704;3;0;0;26;15;4,314
К0024461;Тэйк-профит;178,73;7489,78;7311,05;178,73;0,513173;16;50,2097;0;89;41;68,3712
К0024482;К-систем (г. Нижневартовск);8410,3;45740,66;37330,36;8410,3;17,486425;12;69,1341;0;283;78;280,701
К0024743;"ООО ""АйТи Плюс"" (г. Тюмень)";-201,37;552,37;753,74;-201,37;0,157808;5;72,8465;262,82;16;14;20,1076
К0024762;"ООО ""Флэш"" (г. Тюмень)";88,73;1961,56;1872,83;88,73;0,131423;21;73,485;49,1;50;40;67,9752
К0024789;Модем;96,72;865,18;768,46;96,72;0,033626;7;0;0;45;10;22,8584
К0024790;ИНФАТЕК;3832,7;28846,2;25013,5;3832,7;3,911811;7;64,565;0;86;34;114,086
К0025016;ИП Виноградов Роман Леонидович;164;1398,59;1234,59;164;0,305028;8;26,4045;56,63;33;23;22,33
К0025215;СФЕРА;36,26;677,27;641,01;36,26;0,07424;2;18,94;18,94;9;6;2,3032
К0025270;Метрон;247,29;1670,22;1422,93;247,29;0,202857;9;6,508;0;37;17;36,1696
К0025320;МЦК;6,05;43,36;37,31;6,05;0,003578;1;0;0;8;3;0
К0025487;ИП Дружинина Анастасия Андреевна;-55,95;955,54;1011,49;-55,95;1,12354;1;0;131,18;13;8;0
К0025527;РУБЕЖ НТ;223,34;902,55;679,21;223,34;0,37945;3;0;0;8;8;22,7424
К0025559;"НПП ""ВИУС"", ООО";94,29;584,75;490,46;94,29;0,078825;1;0;0;3;3;4,406
К0025666;ТНТ Принт;17,91;380,23;362,32;17,91;0,011795;1;0;0;25;3;10,458
