КлиентНомер;КлиентКрНаим;Прибыль, usd;Цена суммарная;Себестоимость по Заказу , usd;Прибыль с учетом рибейтов;Объём по Накладной, м3;Общее Количество Заказов;Коррекция продактов ЦО в РБЮ;Коррекция продактов сейлам;Количество шт. в Накладной;Заказ Количество Строк;Доход конвертационный, usd
К0036601;Энергохимснаб;483,19;1729,63;1246,44;483,19;0,475481;3;0;0;306;9;0
К0036620;Оптима;95,59;379,8;284,21;95,59;0,040962;2;0;0;15;2;15,192
К0036631;Деловые Системы (г. Нижневартовск);642,39;6488,5;5846,11;642,39;0,604979;1;0;0;10;3;0
К0036636;"ООО ""Меркурий-628"" (г. Тюмень)";17,41;301,5;284,09;17,41;0,00345;1;0;0;75;1;12,06
К0036649;Урал-Трейд Шершнев;540,56;8003,47;7462,91;540,56;0,846269;30;132,5333;0;144;112;134,5671
К0036713;"ООО ""ПринтеК""";547,19;4463,47;3916,28;547,19;0,38042;20;5,9517;0;83;51;5,72
К0036815;СК-Групп (г. Сургут);2,39;154;151,61;2,39;0,013992;1;0;0;4;1;6,16
К0036847;ООО  «ЭнергоСвязьМонтаж»;250,86;4629,07;4378,21;250,86;1,153879;15;18,3765;0;65;26;118,3272
К0036872;Ростехно;171,86;1730,4;1558,54;171,86;0,21159;2;1,964;0;6;2;0
К0036948;"ООО ""ММК-Информсервис""";54890,83;269745,46;214854,63;64195,38;10,706553;14;2,6471;0;233;29;0
К0037075;MXM;29,32;418,7;389,38;29,32;0,363747;1;0;0;2;2;0
К0037098;Петрова Л. Е.;933,82;6226,71;5292,89;933,82;1,934943;2;43,0739;0;110;68;0
К0037162;ООО «АнКом-Трейд»;187,28;1945,14;1757,86;187,28;0,344024;17;35,91;56,71;33;26;17,8756
К0037262;"Кухни ""Маэстро""";45,51;154,37;108,86;45,51;0,05577;1;0;0;1;1;0
К0037327;"ООО ""Про Коммуникейшн"" (г. Тюмень)";118,16;511,79;393,63;118,16;0,012713;2;4,555;0;4;2;5,7
К0037351;Ай-Ти 72  (г. Тюмень);1927;17604,79;15677,79;1927;1,459799;19;121,5717;0;182;41;127,1064
К0037565;Трэнд;-9150,96;34492,47;43643,43;-9150,96;0,294563;5;8189,87;0;95;20;0
К0037606;СтройСети  (г. Курган);2,56;604,73;602,17;2,56;0,016718;5;0,725;0;7;6;17,0972
К0037782;Эльдорадо PRM;1216,41;14300,27;13083,86;1216,41;7,768698;37;605,7263;2103,786;669;350;24,948
К0037915;Звезда;160,42;2122,47;1962,05;160,42;0,196298;2;0;0;3;3;0,6144
К0037931;Апстор (г. Сургут);484,26;10916,08;10431,82;484,26;0,092053;4;0;0;98;32;0
К0037998;Кенгуров Р. О.;157,73;10713,95;10556,22;157,73;10,695364;2;0;1273,39;93;88;5,8684
К0038043;КУРС;150,45;855;704,55;150,45;0,1309;1;0;0;1;1;0
К0038070;ООО «ЭКСИТО»;7,94;101,9;93,96;7,94;0,047995;1;0;0;3;3;4,076
К0038127;ИП Мартыновская Анна Евгеньевна;1054,05;9343,87;8289,82;1054,05;0,064944;1;21,8916;189,42;249;35;0
К0038182;Технология1;1075,38;4493,06;3417,68;1075,38;1,849871;19;57,1062;0;45;29;22,016
К0038200;Скарлет ТТ;65,87;405,84;339,97;65,87;0,123364;1;1,2205;0;33;13;0
К0038282;Промтехобеспечение (г. Нижневартовск);1546,9;6959,17;5412,27;1546,9;0,972633;12;9,558;0;214;38;55,6413
К0038384;"ООО ""РСК Гефест""";-50,79;1299,73;1350,52;-50,79;0,11367;3;0;87,78;21;17;51,9892
К0038394;ОптКом;34,34;120,96;86,62;34,34;0,008901;2;0;0;10;2;4,8384
К0038454;"СК ""Астория"" (г.Тюмень)";8827,2;70577,8;61750,6;8827,2;1,938237;13;1,383;262,7;1117;58;393,8136
К0038474;ПрофКом (г. Тюмень);14,02;27,9;13,88;14,02;0,001038;1;0;0;2;2;1,116
К0038542;"ООО ""Сервис Про"" (г. Тюмень)";159,04;798,57;639,53;159,04;0,263089;2;0;0;2;2;6,24
К0038581;Зубов А.П.;2543,54;16590,14;14046,6;2543,54;3,461911;14;369,0293;0;340;177;82,6376
К0038584;ТехноРесурс;-38,36;4534,55;4572,91;-38,36;0,568538;13;126,701;158,84;73;46;148,3036
К0038673;ООО «Юком.Ру»;237,63;2071,18;1833,55;237,63;0,500131;5;0;0;13;13;3,2304
К0038681;Евродом;535,3;3212,6;2677,3;535,3;1,495089;2;0;0;4;4;0
К0038966;"ООО ""ТюменьМаркет""";4949,87;31496,44;26546,57;4949,87;21,525359;20;3,0397;0;77;72;0
К0038979;АйтиМикс (г.Тюмень);64,26;769,8;705,54;64,26;0,15985;3;0;0;18;12;30,792
К0038991;Павленко  (г. Тюмень);285,7;1531,01;1245,31;285,7;2,190773;1;0;0;6;6;0
К0039008;"ООО ""Логистика""";-18,06;642,78;660,84;-18,06;0,002696;2;0;0;6;2;25,7112
К0039022;Статус-СВ;66,04;947,94;881,9;66,04;0,08775;1;0;0;6;1;0
К0039030;"ООО ""НПК""";378,45;2374,06;1995,61;378,45;0,125055;2;0,0949;0;3;3;0,3144
К0039069;ИП Ершов Андрей Георгиевич;4066,23;29288,36;25222,13;4066,23;19,640555;4;0;1143,71;66;58;0
К0039074;СвязьСервисКаталог;78,23;527;448,77;78,23;0,011248;1;0;0;1;1;21,08
К0039252;Бимарт;4640,53;35993;31352,47;4640,53;24,813802;110;45,752;0;131;131;79,7572
К0039270;Мора-Урал;4179,77;44849,41;40669,64;4179,77;44,44823;7;3,7468;3973,14;446;168;0
К0039288;Одуван;80,58;6644,49;6563,91;80,58;1,18776;2;0;0;14;2;0
К0039434;ООО «ИТ-Прайм»;-514,29;18769,52;19283,81;-514,29;4,052895;9;568,7707;0;582;41;624,4016
К0039515;Эллинг;34,82;256;221,18;34,82;0,045472;1;0;0;1;1;10,24
К0039587;Аксель;5,62;176;170,38;5,62;0,00099;1;0;0;2;1;7,04
К0039736;"ООО ""+ Альянс. ИТ"" (г. Тюмень)";6,07;42,5;36,43;6,07;0,000063;1;0;0;1;1;1,7
К0039768;Мастер Трейд (г.Тюмень);61642,23;567931,38;506289,15;52543,61;11,700275;44;1944,7091;1470,7;1892;264;1405,2768
К0039884;ИП Усанов Илья Николаевич;106,78;3740,12;3633,34;106,78;0,540581;13;128,166;683,96;56;48;2,35
К0039939;Садырев О. В.;108,08;2154,96;2046,88;108,08;1,796913;1;0;0;6;6;0
К0039944;Поспелова  (г. Курган);956,93;5493,79;4536,86;956,93;2,258655;18;0;113,76;502;94;25,57
К0040016;ИП Клепиков Е.А.;176,16;1927,15;1750,99;176,16;0,327081;12;4,075;0;34;24;18,342
К0040020;ТехноТрейд-Сервис  (г. Курган);242,6;2158,23;1915,63;242,6;0,270183;8;2,046;0;84;40;62,9048
К0040135;Периметр Урал;1,15;105,67;104,52;1,15;0,00081;1;0;0;1;1;4,2268
К0040204;ООО «Интерра Компьютерс»;-38,08;1273,08;1311,16;-38,08;0,109289;5;64,365;0;21;7;33,94
К0040207;Ригель  (г. Сургут);1356,84;9688,43;8331,59;1356,84;1,552707;5;8,42;0;185;69;17,3048
К0040214;Клг-Гамма плюс  ПКФ;945,85;6970,34;6024,49;945,85;0,49062;1;0;0;18;2;0
К0040280;ИнтеллектКомплект;-96,03;608,22;704,25;-96,03;0,139076;1;0;0;1;1;0
К0040387;ИП Сундрякова С.М.;174,85;10422,73;10247,88;494,45;2,294611;13;680,6972;76,82;205;55;129,3876
К0040395;ИП Бахтина-Каримова Любовь Федоровна;3367,5;46736,66;43369,16;3367,5;30,070561;56;0;0;123;92;0
К0040420;Мир Домашней Техники;8799,98;51626,79;42826,81;8799,98;38,002599;13;2,4179;0;256;49;11,16
К0040436;Техпоставка;-255,53;1276;1531,53;-255,53;0,009782;3;267,21;0;11;3;51,04
К0040439;Макситрейд  (г. Сургут);432;1985,6;1553,6;432;0,465776;4;0;0;17;7;1,58
К0040564;ПрофАйТи  (г. Тюмень);184,5;535,16;350,66;184,5;0,038004;2;0;0;4;3;0
К0040708;ООО «Эксэлент»;5,34;930,71;925,37;5,34;0,144401;12;37,8823;0;46;21;34,5972
К0041080;НВ-Торг  (г. Тюмень);133;993,55;860,55;133;0,257403;5;0;0;5;5;4,36
К0041202;Эль-Арт;367,28;2215,11;1847,83;367,28;0,51957;7;0;0;79;49;0
К0041253;ТКПФ «Бизнес Линии (г.Новый Уренгой);1502,12;35061,96;33559,84;1502,12;7,660757;22;1112,04;0;217;75;136,634
К0041259;ООО «Центр-Сервис»;9,39;225;215,61;9,39;0,018225;1;0;0;5;1;9
К0041411;Династия (г. Надым);161,6;1084,19;922,59;161,6;0,03276;1;0;0;1;1;0
К0041508;БЭРКСАН СТРОЙ;382,04;2139,45;1757,41;382,04;0,550331;4;0;0;540;10;0
К0041513;ООО  «Тетроникс-Сервис»;9812,39;64556,34;54743,95;9812,39;3,578327;30;41,8971;0;102;43;106,8752
К0041692;Клг-МагистральЭнергоИнжиниринг;-311,19;2073,18;2384,37;-311,19;0,134491;6;0;0;204;28;0
К0041712;ТекИнфо  (г. Сургут);713,16;14182,08;13468,92;931,32;0,927775;13;622,1669;0;47;26;79,512
К0041752;Энергосистема;138,92;459;320,08;138,92;0,134206;3;0;0;11;10;0
К0041767;"ООО ""ТехноСнабСервис""";1,28;375,92;374,64;1,28;0,054095;2;6,6325;0;7;7;15,0368
К0041789;ООО «МТ-Люкс»;497,65;2775,77;2278,12;497,65;2,29516;2;0;0;9;9;0
К0041814;Техника72 (г.Тюмень);237,19;1802,03;1564,84;237,19;1,374705;1;0;0;2;2;0
К0041947;Исекеева О. В.;464,63;3115,59;2650,96;464,63;0,29324;6;0;0;16;10;36,088
К0042005;ИП Волкоедов А.Н. (г. Тюмень);858,6;24045,06;23186,46;858,6;3,193248;15;345,47;472,28;302;87;619,1428
К0042021;Энергопромкомплект;150,81;1102,22;951,41;150,81;0,13086;3;0;0;14;3;0
К0042176;Ожога О. М.;1869,4;11801,51;9932,11;1869,4;15,180837;3;0;0;111;63;0
К0042346;РЕЛ (пгт Октябрьское);632,93;4700,86;4067,93;632,93;1,021973;8;33,826;0;185;47;111,2904
К0042454;Грибов;12,22;203,4;191,18;12,22;0,013914;1;0;14,07;9;3;8,136
К0042456;"ООО ""Альтернатива ТМН"" (г. Тюмень)";21,77;315;293,23;21,77;0,007657;2;0;0;6;4;12,6
К0042921;Силаков С. А.;803,8;3552,4;2748,6;803,8;0,376539;1;0;0;175;9;0
К0042927;УСКК (г. Тюмень);386,23;3650;3263,77;386,23;0,004095;1;0;0;1;1;146
К0043069;ЭнергоКурс;98,63;167,51;68,88;98,63;0,0038;1;0;0;1;1;6,7004
К0043076;Шилов С. В.;502,09;2364,7;1862,61;502,09;1,525769;3;0;0;6;6;0
К0043121;ООО «Системные решения»;28,68;299,49;270,81;28,68;0,097321;2;0;0;26;6;0
К0043148;Интер Хоум (г. Тюмень);208,18;763,94;555,76;208,18;0,3714;1;0;0;3;3;0
К0043162;ИП Блинова С. В. (г. Тюмень);25,75;660,32;634,57;25,75;0,664127;2;0;0;2;2;0
К0043369;ИТ Профессиональные Решения;1520,3;10686,28;9165,98;1520,3;0,355222;2;1152;0;9;7;288,892
К0043393;Итерра;1060,17;15896,12;14835,95;1089,93;2,798233;24;114,7324;219,43;203;77;420,3616
К0043503;ООО Строительная компания “КапиталСтройГруп”;250,85;1228,6;977,75;250,85;0,248862;2;0;0;248;5;46,88
К0043552;"ООО НПФ ""Новые технологии""";887,43;1018,84;131,41;887,43;1,127045;2;0;0;5;4;5,4
К0043601;Темрюков   (г. Курган);576,26;3760,46;3184,2;576,26;1,506532;3;0;0;7;7;0
К0043719;УРАЛ-ТРЕЙД;5792,22;40290,3;34498,08;5792,22;27,818462;47;171,6571;0;102;100;29,9024
К0043759;Уралспецтеплоремонт;8010,17;53397,26;45387,09;8010,17;5,293333;15;0;0;8293;41;12,9792
К0043794;БЭЙС (г. Салехард);3977,89;33239,77;29261,88;3977,89;8,656201;13;114,2087;0;744;226;24,3513
К0044020;ООО «СпецСтройУрал»;2107,39;4374;2266,61;2107,39;0,8085;1;0;0;30;1;0
К0044164;ИП Маслаков Михаил Петрович;0,7;325;324,3;0,7;0,00075;1;0;0;2;1;13
К0044325;Эскейп  (г. Тюмень);154,57;1078,03;923,46;154,57;0,193827;2;1,817;0;47;10;32,8468
К0044445;"ООО ""Лима-Групп""";231,37;1928,04;1696,67;231,37;0,09075;1;1696,65;3860,09;2;1;77,1216
К0044520;ООО «Новый Элемент»;668,77;2423,56;1754,79;668,77;1,015494;1;0;0;5;5;0
К0044530;ИТ-Центр;4239,82;25426,45;21186,63;4239,82;3,173343;18;206,3964;0;97;53;99,0464
К0044553;"ООО ""Компания ""Градис""";41,8;2448,76;2406,96;41,8;0,152799;10;71,0468;0;45;26;35
К0044591;Инфраструктура ТК;320,21;8776,92;8456,71;320,21;1,379821;12;271,8316;0;32;22;44,8604
К0044788;Рубцова С.С.;128,2;2428,84;2300,64;128,2;0,270832;4;11,98;0;348;10;76,0108
К0044868;ИндаСофт;658,91;3383,2;2724,29;658,91;0,46536;1;0;0;2;2;135,328
К0045077;ООО ПТФ «Интэк-Сигнал»;1,49;153;151,51;1,49;0,00033;1;0;0;1;1;6,12
К0045104;ООО «АйТи СнабСервис»;95,75;1554,96;1459,21;95,75;0,099364;5;7,39;0;34;11;62,1984
К0045231;"ЗАО ""Датател-Урал""";10812,49;133955,44;123142,95;10812,49;4,346117;16;4944,2977;4497,07;1319;70;0
К0045296;ИП Хасанова Н.В. (с. Ярково);152,35;1620,52;1468,17;152,35;0,358281;6;0;0;7;7;0
К0045316;Барт-Инвест;60,18;666;605,82;60,18;0,30305;1;0;0;1;1;26,64
К0045505;"ООО""Праздничное Агентство ""Овация""";37,79;584,09;546,3;37,79;0,079533;3;19,65;0;9;9;7,88
К0045740;"ООО ""АйТиДжи"" (г. Тюмень)";355,01;2164,83;1809,82;355,01;0,122199;4;91;0;7;7;46,8
К0045752;Смарт-Рэк Трейдинг;1143,79;11354,55;10210,76;1143,79;28,639325;2;0;0;56;5;75,582
К0045802;Пилигрим-Трейд;325,83;4019,72;3693,89;325,83;0,423683;7;2,14;0;40;29;131,8964
К0045817;ООО «УралКом МИТ»;572,47;2699,32;2126,85;572,47;0,525712;8;0,4913;0;23;14;4,37
К0046004;ООО «Камера АйПи»;3,41;264,82;261,41;3,41;0,001724;1;0;0;4;2;10,5928
К0046422;Просто96;719,14;9887,99;9168,85;719,14;2,042495;14;299,78;0;58;18;58,176
К0046470;Д-Линк-Екатеринбург;399,78;1824,1;1424,32;399,78;0,317185;2;0;0;5;5;0
К0046598;Триэс менеджмент (г. Тюмень);9,84;102,82;92,98;9,84;0,011487;3;0,0623;0;5;5;2,4192
К0046642;Титов А.Е.;2,37;53,76;51,39;2,37;0,005586;1;0;0;1;1;2,1504
К0046800;М-АйТи НАО (г. Нарьян-Мар);-118,85;845,51;964,36;-118,85;0,001264;2;142,338;0;4;3;33,8204
К0046851;ООО «Арт Сети»;2318,55;10521,54;8202,99;2318,55;0,886559;6;51,92;0;25;12;0
К0046859;Паритет-Пермь;-140,8;585,26;726,06;-140,8;0,093312;1;158,3578;0;1;1;0
К0046886;Технобыт (г.Тюмень);6107,33;29967,4;23860,07;6107,33;20,847328;5;0;0;73;35;0
К0046925;"ООО ""Константа-Сервис""";11,09;79,46;68,37;11,09;0,008602;1;0;0;1;1;0
К0047026; Шостина Н.С.;184,33;2703,01;2518,68;184,33;5,683253;5;0;312,15;19;18;0
К0047045;КИПЕРСИСТЕМС;189,93;1031,7;841,77;189,93;0,028853;1;0;0;8;3;0
К0047187;ООО «Эксперт – компьютерные технологии»;622,87;4876,67;4253,8;622,87;0,287583;5;8,865;0;20;11;157,3608
К0047238;ИП Зубик Андрей Степанович;374,82;1809,66;1434,84;374,82;0,045742;11;0;0;124;48;0
К0047385;ООО «Развитие Урала»;89,38;1076,57;987,19;89,38;0,080475;2;0;0;3;2;0
К0047459;ООО «ЕвроЭнерго»;6306,26;25970,06;19663,8;6306,26;2,268326;2;0;0;2;2;0
К0047511;Мир видео;4970,59;39945,3;34974,71;4970,59;26,148917;97;187,7822;0;178;177;164,5719
К0047546;ООО ТД «Столетти»;53,45;238,26;184,81;53,45;0,229793;1;0;0;1;1;0
К0047640;Плаза;66,62;1637,7;1571,08;66,62;0,118774;1;12,124;0;10;6;62,188
К0047642;Пермь ИТ Сервис, ООО;131,05;1324,41;1193,36;131,05;0,12167;6;0;4,69;33;16;36,1524
К0047658;Дата-Пермь;53,48;627,9;574,42;53,48;0,039911;2;0;0;6;2;25,116
К0047679;"ООО ""Техно Тайгер""";-88,71;971;1059,71;-88,71;0,125172;2;119,28;0;2;2;0
К0047727;ООО «ГРАНД-ДИЗАЙН»;637,12;5864,49;5227,37;637,12;3,439325;3;0;0;9;9;0
К0047735;Техника Люкс;3466,73;18809,73;15343;3466,73;10,774404;3;0;0;14;13;0
К0047805;Романенко Л.С.;639,88;3972,17;3332,29;639,88;2,0129;6;0;0;15;15;0
К0047896;ООО «ЧЕСТ»;48,54;762,46;713,92;48,54;0,019832;4;0;0;22;8;15,6552
К0047921;"ООО ""Дартико""";388,45;401,44;12,99;388,45;0,288003;2;0;0;2;2;16,0576
К0047931;"ООО ""АРТ-КОМФОРТ""";61,2;369,93;308,73;61,2;0,065761;2;9,9942;0;2;2;0
К0048034;"ООО ""ИТ Комплект+"" (г. Тюмень)";266,54;976,92;710,38;266,54;0,283607;2;0;0;6;5;0
К0048054;ООО «АРД-ЕК»;-118,5;2300,66;2419,16;-118,5;0,44944;9;260,78;0;9;9;36,7716
К0048295;"ООО ""ПБТ""";-5,52;165,97;171,49;-5,52;0,001182;1;3,386;0;3;3;6,6388
К0048462;ООО « АБТ 21 век»;3306,04;25333,46;22027,42;3510,13;2,192866;28;98,3674;26,45;366;156;329,1596
К0048529;Пермяков А.И. (п. Березово);219,19;2011,31;1792,12;219,19;0,384653;6;176,567;261,01;108;82;54,138
К0048628;"ООО ""Гаруда Групп"" (г. Тюмень)";-593,25;9889,17;10482,42;-593,25;0,562825;6;0;283,23;239;12;385,396
К0048629;ООО «ГЕФЕСТ»;259,19;828,17;568,98;259,19;0,135239;3;0;0;196;18;0
К0048651;ООО НПП «Телекс ЛТД»;969,85;2339,04;1369,19;969,85;0,143288;2;0;0;5;3;83,0256
К0048716;КСИ (г. Курган);4885,09;43492,52;38607,43;4235,66;5,274711;27;230,0511;0;277;135;0
К0048836;ООО «Компания Сити Сервис»;59,32;1635,55;1576,23;59,32;0,24564;4;0,375;0;94;10;21,18
К0048897;ООО «Молл»;149,15;2282,26;2133,11;149,15;1,30881;4;0;0;320;15;0
К0048909;Терминал 7  (г. Тюмень);1129,12;15255,52;14126,4;1129,12;1,317137;14;1004,9665;180,41;569;71;32,2316
К0048914;Партнер Канц (г. Нижневартовск);456,8;1649,12;1192,32;456,8;0,341255;8;0;0;46;15;0
К0048920;Нью Медиа  (г. Тюмень);2347,22;13047,9;10700,68;2347,22;8,715067;13;0;0;29;27;0
К0048983;"ООО ""ПромЛогистика""";2123,27;13062,39;10939,12;2123,27;5,356027;24;0;0;26;28;0
К0049013;Техносервис (г. Тюмень);13,45;143,14;129,69;13,45;0,0504;2;0;0;17;2;4,32
К0049016;Артемов Д.А.;25,36;186,69;161,33;25,36;0,007806;1;0,3542;0;24;15;7,4676
К0049058;ООО «АЛЬФА-СБ»;381,97;9109,95;8727,98;381,97;0,333295;9;15,4401;0;54;27;152,2108
К0049129;А-Кей (г. Тюмень)  НОВЫЙ;3323,07;25143,97;21820,9;3323,07;3,14559;35;77,1604;94,24;1109;66;157,578
К0049273;Аксёнов А.А.;4113,56;20768,9;16655,34;4113,56;11,471853;27;0;0;39;38;0
К0049660;Ассорти;418953,26;4488774,14;4069820,88;454955,21;201,544762;3;0;0;211195;6;0
К0049674;ООО «АйТиБокс»;1019,91;4618,68;3598,77;1019,91;1,11002;3;1,581;0;59;5;145,572
К0049688;ООО “АйТи+” (г.Тюмень);129,73;10595,18;10465,45;129,73;4,18716;4;17;0;42;4;18,36
К0049710;ООО «Микро-Копир»;1076,95;6291,82;5214,87;1076,95;0,389951;11;0;17,97;19;11;172,4916
К0049742;ООО «ТК СОМ»;4;9,48;5,48;4;0,00045;1;0;0;1;1;0,3792
К0049758;Мебельный Салон LORENA (Челябинск);383,06;1873,93;1490,87;383,06;1,684227;2;0;0;5;5;0
К0049783;ООО «СТЭМ-Урал»;322,12;1347,49;1025,37;322,12;0,39009;1;4,227;0;6;6;37,5836
К0050023;ООО «ЯВИАР»;182,45;465,99;283,54;182,45;0,005044;1;0;0;26;11;0
К0050049;ООО «НекстИнфо»;161,21;7003,26;6842,05;161,21;0,049352;2;0;0;40;2;227,9904
К0050112;ООО «Торгово-финансовая компания «ЕВРАЗИЯ»;20,81;81,29;60,48;20,81;0,005472;1;0;0;1;1;0
К0050127;Энерго-Д;149,88;2047,01;1897,13;149,88;0,959792;1;0;0;32;12;0
К0050210;ООО «Орбител»;108,19;1657,64;1549,45;108,19;0,315049;6;0;0;157;16;39,3516
К0050272;"ООО ""Парнас""";151,14;2482,71;2331,57;151,14;0,261955;3;13,432;0;77;14;0
К0050277;ООО «ЮНИТОН»;-15,63;1140;1155,63;-15,63;0,043013;3;58,93;0;4;3;0
К0050288;ООО «ИНТЭКО»;453,93;5504,58;5050,65;453,93;0,079095;1;0;0;6;2;0,1832
К0050345;ООО «Сети и Технологии»;0,33;1147,95;1147,62;0,33;0,008587;4;0;0;13;7;45,918
К0050621;ООО ТД «ПРОВИАНТ»;41,52;590,5;548,98;41,52;0,26783;1;0;0;60;12;0
К0050624;ООО «Уралэкспо» (г.Тюмень);1,33;876,11;874,78;1,33;0,197789;2;23,645;0;21;8;27,7912
К0050644;"ООО ""СТРОЙТЕХ""";-603449,71;897751,93;1501201,64;-603449,71;83,916;1;0;0;50400;1;0
К0050884;ООО «Сити-газ» (г. Сургут);142,45;488,41;345,96;142,45;0,00594;1;0;0;40;9;14,6523
К0050976;ООО «УГМК-Телеком»;2325,55;17005,78;14680,23;2325,55;1,573022;13;0;0;82;21;200,672
К0051027;"ООО ""Первый компьютерный""";81,05;2030;1948,95;81,05;0,315828;1;0;0;5;1;0
К0051040;АйТи Идея;56,17;237,62;181,45;56,17;0,11305;1;0;0;1;1;0
К0051119;ООО «АльфаКом»;-103,09;1914,38;2017,47;-100,32;0,110924;2;466,1386;428,6794;367;18;0
К0051177;СОВИНТЕХ;103,35;1038,22;934,87;103,35;0,050951;2;0;0;15;11;0
К0051199;ООО «КОМТЕХ»;434,32;4466,74;4032,42;434,32;0,310539;2;0;0;2;2;85,2
К0068921;"ООО ""СтройИндустрия""";32,21;245,85;213,64;32,21;0,000605;1;0;0;55;1;9,834
К0068935;ИП Яковлев Дмитрий Викторович;2468,07;11455,05;8986,98;2468,07;1,433329;63;8,95;8,95;5105;569;0
К0069045;ИП Александров А.А.;-72,18;1650,5;1722,68;-72,18;0,008963;3;82,855;0;28;4;66,02
К0069182;ООО «ИСТ Кама»;7141,9;47523,23;40381,33;7135,44;6,386028;31;466,1838;135,31;454;183;513,1428
К0069288;"ООО ""ТЕХНОПОЛИС""";615,08;5520;4904,92;615,08;0,378;1;0;0;100;2;0
К0069392;ИП Коваленко О.А. (г. Тюмень);55,26;543,2;487,94;55,26;0,051405;1;0;0;1;1;0
К0069410;XRX-Екатеринбург;88,4;1464,2;1375,8;88,4;0,075113;1;0;0;13;9;0
К0069425;"ООО ""ТЕХНОПАРК-АВТОМАТИЗАЦИЯ""";535,88;4034,09;3498,21;535,88;0,264994;1;0;0;2;2;0
К0069475;ООО «ИнТехТрейд»;48,51;1217,85;1169,34;48,51;0,020372;5;20,8;0;10;5;48,714
К0069628;ООО «КОМ-МАРКЕТ»;6230,39;93707,37;87476,98;7107,59;2,215772;16;141,18;0;7549;33;305,4244
К0069785;ООО «Люкском Видеонаблюдение»;99,14;559,92;460,78;99,14;0,05399;2;0;147,2;7;2;13,0312
К0070077;ООО «АйТи-Альянс»;506,07;1548,21;1042,14;506,07;0,179384;5;11,93;11,93;20;11;1,2928
К0070111;ООО «Компания Сайтсофт»;6,06;51,83;45,77;6,06;0,000385;2;0;0;2;2;0
К0070130;"ООО ""Лайт Групп""";3,15;250,86;247,71;3,15;0,011899;1;0;0;42;18;0
К0070330;"ООО ""Аксиом""";16529,45;110252,91;93723,46;16529,45;7,416827;46;411,6716;52,3494;7285;248;131,3756
К0070475;"ООО ""АВС-безопасность""";37,6;286,17;248,57;37,6;0,016795;2;0;0;4;3;4,2
К0070583;АВАЛОН (г. Ханты-Мансийск );372,62;3215,74;2843,12;372,62;0,143624;4;0;0;11;8;0
К0070635;ООО «Авирис»;42,05;483,82;441,77;42,05;0,001808;6;0;0;9;9;0
К0070767;"ООО "" Интерфейс""";167,8;1308,23;1140,43;167,8;0,064039;2;0;19,84;18;6;0
К0070824;Технопринт;118,57;949,98;831,41;118,57;0,177364;12;5,16;0;34;20;4,92
К0070970;Павлюк Инна Сергеевна (г. Урай);5511,63;31896,86;26385,23;5511,63;7,935354;13;317,583;0;783;243;15,26
К0070979;ООО «РОСИНТЕХ»;1656,59;13015,89;11359,3;1656,59;0,540191;6;0;0;5413;63;0
К0071006;ООО «Ником-Чел»;29,63;322,38;292,75;29,63;0,071719;1;1,4002;0;8;8;12,8952
К0071053;ООО «Ай Ти комплектация»;86,42;13359,33;13272,91;86,42;0,743485;20;125,619;0;131;51;331,7948
К0071062;ООО «СофтПроект»;20,45;781,79;761,34;20,45;0,03848;5;49,75;1,2;8;6;0,4856
К0071239;ООО ООО«Информационные технологии»;10,15;121,11;110,96;10,15;0,015841;2;0;0;4;4;3,576
К0071251;"ООО ""Инфоком""";-24,3;324,3;348,6;-24,3;0,004828;1;17,41;5,29;5;4;12,972
К0071415;ООО “РТСК Урал”;19,06;408,63;389,57;19,06;0,10734;2;3,2937;0;24;2;0
К0071448;ООО «Перспектива»;-1346,4;-23525,1;-22178,7;-1346,4;-9,405888;2;0;0;-79;2;1,04
К0071522;ИП Супоненский Станислав Владимирович;-192,02;3635;3827,02;-192,02;0,146025;2;326,89;0;3;2;10,24
К0071592;ООО «ЭлСи Интеграция»;278,47;4188,5;3910,03;278,47;0,351949;1;0;0;6;5;167,54
К0071755;ОРИОН ПЛЮС (г. Советский);87,61;270,97;183,36;87,61;0,00555;1;0;0;1;1;0
К0071791;"ООО ""Мастер-М""";-52,82;930,18;983;-52,82;0,017906;1;0;0;40;7;37,2072
К0071917;"ООО""ТЕХНОПАРК""";1520,89;11590,79;10069,9;1520,89;9,931891;1;0;0;30;13;0
К0071952;ООО «Полесье»;278,54;995,84;717,3;278,54;0,849167;1;0;0;5;5;0
К0071976;"ООО"" Вега Кухонная техника""";521,88;1298,78;776,9;521,88;0,42471;1;0;0;1;1;0
К0072041;"ООО ""МАРИС""";1268,9;8194,47;6925,57;1268,9;5,143612;10;0;0;20;20;0
К0072124;ИП Сибгатуллин Наиль Гамбарович;-13,31;823,64;836,95;-13,31;0,025098;4;38,9725;0;22;6;25,0788
К0072172;Цифровой век (г. Нефтеюганск);429,96;4397,66;3967,7;429,96;1,144814;10;218,3398;67,07;28;11;7,04
К0072212;ООО Мобиликом;107,13;1012,5;905,37;107,13;0,13295;2;0;0;28;7;26,2164
К0072267;ИП Маркин С.В.;-45,53;631,39;676,92;-45,53;0,008265;1;0;0;14;7;25,2556
К0072294;Яковлев Олег Викторович (г.Радужный);3365,08;23447,8;20082,72;3365,08;4,329146;11;159,2218;0;380;163;531,1992
К0072302;ООО «СувенирОптИмпорт»;-6801,3;40707,86;47509,16;-6801,3;1,867187;4;17,519;0;496;36;0
