"","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01"
"sales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,14,27,6,11,12,18,11,23,8,12,16,11,15,19,8,4,23,7,12,26,11,15,23,36,31,23,23,25,34,53,22,14,14,33,23,23,50,45,9,26,21,12,7,7,18,3,11,6,4,10,0,1,1,1,1,0
"stocks",0,0,0,0,0,0,0,0,0,0,0,0,4,6,74,56,42,25,19,21,24,21,35,12,19,77,61,60,45,26,38,52,39,52,70,44,77,72,69,83,52,49,62,77,93,90,68,54,50,47,24,81,82,36,47,41,30,38,31,39,21,29,16,15,12,3,3,2,1,1,0,0
